,Home,Away,HomeOdds,DrawOdds,AwayOdds,Round
0,Botafogo_RJ,Chapecoense-S,1.75,3.41,4.93,16
1,Avai,Corinthian,2.74,2.79,2.89,16
2,Ceara,Flamengo_R,3.12,3.17,2.31,16
3,CSA,Cruzeir,4.33,3.24,1.91,16
4,Goias,Internaciona,2.50,3.06,2.92,16
5,Santos,Fortalez,1.32,4.95,9.54,16
6,Vasco,Sao_Paul,2.90,2.93,2.62,16
7,Atletico-MG,Bahi,2.05,3.15,3.80,16
8,Gremio,Athletico-P,2.21,3.11,3.40,16
9,Athletico-PR,Sao_Paul,2.00,3.13,4.04,13
10,Chapecoense-SC,Ava,2.06,3.01,3.97,15
11,Athletico-PR,Atletico-M,1.84,3.53,4.15,15
12,Bahia,Goia,1.45,4.18,7.04,15
13,Cruzeiro,Santo,2.70,3.03,2.70,15
14,Fluminense,CS,1.31,4.86,10.30,15
15,Gremio,Palmeira,2.73,2.97,2.73,15
16,Sao_Paulo,Cear,1.63,3.50,5.89,15
17,Vasco,Flamengo_R,5.69,3.67,1.61,15
18,Corinthians,Botafogo_R,1.59,3.49,6.54,15
19,Fortaleza,Internaciona,2.18,3.12,3.47,15
20,CSA,Fortalez,2.82,2.93,2.66,14
21,Goias,Vasc,2.15,3.17,3.47,14
22,Atletico-MG,Fluminens,1.80,3.59,4.26,14
23,Avai,Cruzeir,3.11,2.94,2.44,14
24,Botafogo_RJ,Athletico-P,2.09,3.27,3.53,14
25,Flamengo_RJ,Gremi,1.56,3.73,6.16,14
26,Internacional,Corinthian,1.91,3.09,4.52,14
27,Palmeiras,Bahi,1.37,4.36,9.17,14
28,Ceara,Chapecoense-S,1.62,3.65,5.61,14
29,Sao_Paulo,Santo,2.53,2.95,2.97,14
30,Corinthians,Goia,1.49,3.83,7.16,7
31,Gremio,Chapecoense-S,1.28,5.07,11.24,13
32,Atletico-MG,Cruzeir,2.04,3.24,3.70,13
33,Corinthians,Palmeira,3.46,2.77,2.38,13
34,Vasco,CS,1.57,3.70,6.14,13
35,Avai,Botafogo_R,2.24,2.96,3.49,13
36,Bahia,Flamengo_R,2.79,3.13,2.54,13
37,Ceara,Fortalez,2.24,2.99,3.45,13
38,Fluminense,Internaciona,1.89,3.34,4.16,13
39,Santos,Goia,1.24,5.82,11.40,13
40,CSA,Gremi,5.62,3.46,1.66,12
41,Fortaleza,Corinthian,2.48,2.83,3.19,12
42,Goias,Atletico-M,2.82,3.29,2.42,12
43,Chapecoense-SC,Bahi,2.70,2.92,2.80,12
44,Cruzeiro,Athletico-P,3.32,3.07,2.27,12
45,Flamengo_RJ,Botafogo_R,1.37,4.56,8.30,12
46,Fluminense,Sao_Paul,2.42,3.06,3.03,12
47,Internacional,Cear,1.93,3.17,4.23,12
48,Santos,Ava,1.29,4.95,11.05,12
49,Palmeiras,Vasc,1.47,3.98,7.21,12
50,Sao_Paulo,Chapecoense-S,1.51,3.84,7.02,11
51,Avai,Goia,2.00,3.14,4.07,11
52,Atletico-MG,Fortalez,1.50,4.10,6.27,11
53,Botafogo_RJ,Santo,3.43,3.06,2.24,11
54,Ceara,Palmeira,4.78,3.26,1.81,11
55,Corinthians,Flamengo_R,2.97,2.85,2.62,11
56,CSA,Athletico-P,3.31,3.22,2.19,11
57,Internacional,Gremi,2.22,2.91,3.64,11
58,Bahia,Cruzeir,1.65,3.58,5.48,11
59,Vasco,Fluminens,2.34,3.17,3.08,11
60,Fluminense,Cear,1.66,3.51,5.48,10
61,Chapecoense-SC,Atletico-M,2.41,3.08,3.04,10
62,Athletico-PR,Internaciona,1.63,3.61,5.70,10
