League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
06/10/2019 18:00,BRZ1,Goias,Goias,Chapecoense-SC,3,1,54,6,2,2,2,10,1,0,0,0,8,0,1,190,153,6,52,14,48,11,5,4,2,5,5,0,0,1,6,0,1,163,134,13,60,33,4231,3,1,1,0,0,1
06/10/2019 18:00,BRZ1,Chapecoense-SC,Goias,Chapecoense-SC,1,3,46,8,1,4,3,8,4,0,0,1,11,0,0,155,125,3,44,20,52,4,1,0,3,6,2,0,0,3,6,1,0,196,161,7,44,10,4231,0,-1,0,0,1,1
06/09/2019 17:00,BRZ1,CSA,CSA,Botafogo_RJ,1,2,44,13,3,5,5,4,4,2,0,1,10,0,0,174,143,4,51,36,36,9,3,6,0,6,4,1,0,4,10,0,2,153,134,3,41,25,4231,0,1,0,0,1,-1
06/09/2019 17:00,BRZ1,Botafogo_RJ,CSA,Botafogo_RJ,2,1,56,5,1,4,0,12,1,0,0,3,4,0,0,230,201,5,46,18,64,8,6,2,0,11,1,0,0,2,6,0,1,289,266,0,52,17,4141,3,-1,1,0,0,-1
06/09/2019 17:00,BRZ1,Fluminense,Fluminense,Flamengo_RJ,0,0,60,5,1,1,3,9,4,0,0,0,8,0,1,275,246,8,43,21,66,13,5,7,1,8,1,1,0,2,6,0,1,334,292,4,62,28,4231,1,1,0,1,0,0
06/09/2019 17:00,BRZ1,Flamengo_RJ,Fluminense,Flamengo_RJ,0,0,40,5,0,5,0,8,0,0,0,1,9,0,2,184,156,12,60,29,34,8,2,3,3,7,2,0,0,5,8,0,1,153,114,6,42,21,4231,1,-1,0,1,0,0
06/09/2019 17:00,BRZ1,Santos,Santos,Atletico-MG,3,1,62,18,5,6,7,5,4,0,0,0,6,0,0,278,252,10,60,46,54,6,0,4,2,9,0,0,0,3,6,0,1,254,215,6,56,19,433,3,1,1,0,0,1
06/09/2019 17:00,BRZ1,Atletico-MG,Santos,Atletico-MG,1,3,38,2,0,0,2,6,1,1,0,3,5,0,1,174,128,6,36,6,46,10,4,3,3,7,4,0,0,0,9,0,1,210,162,5,53,28,4231,0,-1,0,0,1,1
06/08/2019 19:00,BRZ1,Avai,Avai,Sao_Paulo,0,0,39,5,0,1,4,11,0,0,0,0,10,0,0,158,104,9,49,19,41,7,2,3,2,7,4,1,0,1,7,0,0,134,85,19,61,22,4231,1,1,0,1,0,0
06/08/2019 19:00,BRZ1,Sao_Paulo,Avai,Sao_Paulo,0,0,61,4,0,2,2,10,5,1,0,0,10,0,0,250,198,6,73,22,59,6,1,5,0,8,5,0,0,2,5,0,0,257,209,7,81,39,4231,1,-1,0,1,0,0
06/08/2019 17:30,BRZ1,Ceara,Ceara,Bahia,0,0,60,9,2,4,3,3,3,1,0,1,4,0,0,241,197,6,36,34,66,13,3,6,4,10,6,0,0,0,8,0,2,234,193,9,46,45,442,1,1,0,1,0,0
06/08/2019 17:30,BRZ1,Bahia,Ceara,Bahia,0,0,40,6,1,2,3,8,1,2,0,2,2,0,0,162,114,5,32,23,34,3,0,2,1,8,0,1,0,3,8,0,2,132,81,11,48,24,433,1,-1,0,1,0,0
06/08/2019 17:00,BRZ1,Cruzeiro,Cruzeiro,Corinthians,0,0,44,10,3,6,1,9,4,1,0,0,3,0,0,221,183,5,48,24,48,15,4,7,4,6,7,1,0,1,9,0,1,229,193,6,46,36,4231,1,1,0,1,0,0
06/08/2019 17:00,BRZ1,Corinthians,Cruzeiro,Corinthians,0,0,56,1,0,0,1,3,1,0,0,3,8,0,0,289,250,3,69,33,52,4,1,1,2,9,4,1,0,4,5,0,1,246,212,9,60,31,4141,1,-1,0,1,0,0
06/08/2019 17:00,BRZ1,Gremio,Gremio,Fortaleza,1,0,62,5,1,4,0,2,7,0,0,1,4,0,0,305,266,3,82,34,70,8,4,3,1,5,3,2,0,1,3,0,1,326,296,13,85,60,4231,3,1,1,0,0,1
06/08/2019 17:00,BRZ1,Fortaleza,Gremio,Fortaleza,0,1,38,2,1,1,0,4,1,0,0,1,2,0,0,195,155,6,40,17,30,3,1,1,1,5,0,0,0,3,5,1,3,146,109,10,30,11,4231,0,-1,0,0,1,1
06/08/2019 14:30,BRZ1,Palmeiras,Palmeiras,Athletico-PR,1,0,40,7,0,6,1,18,2,0,0,2,10,0,1,142,110,6,31,17,62,15,4,10,1,9,5,1,0,1,5,0,1,150,116,10,30,24,4231,3,1,1,0,0,1
06/08/2019 14:30,BRZ1,Athletico-PR,Palmeiras,Athletico-PR,0,1,60,3,2,1,0,10,6,0,0,0,19,0,3,213,174,11,26,12,38,4,1,1,2,7,1,1,0,3,7,0,1,188,154,3,24,12,4141,0,-1,0,0,1,1
06/07/2019 18:30,BRZ1,Vasco,Vasco,Internacional,2,1,39,8,3,3,2,13,0,0,0,1,6,0,0,192,155,8,55,14,23,2,0,0,2,7,0,0,0,2,7,0,0,93,59,11,38,7,4231,3,1,1,0,0,1
06/07/2019 18:30,BRZ1,Internacional,Vasco,Internacional,1,2,61,5,1,2,2,6,2,2,0,1,11,0,0,305,263,4,67,24,77,14,3,6,5,7,8,3,0,0,5,0,2,334,303,11,84,61,433,0,-1,0,0,1,1
