League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
06/13/2019 19:00,BRZ1,Atletico-MG,8780202675068613944050797256625604133092304180250665022138037739238,1,1,71,8,3,5,0,7,6,1,0,1,6,0,0,394,349,10,67,12,5,2,5,10,6,0,0,1,7,0,2,327,281,12,4231,1,1,0,1,0,0
06/13/2019 19:00,BRZ1,Sao_Paulo,4651583161405307946478289531252958582822856797421222718249444720542,1,1,29,5,1,3,1,6,3,0,0,2,7,0,1,155,122,7,33,4,2,1,1,7,2,0,0,5,10,0,3,159,118,8,4231,1,-1,0,1,0,0
06/13/2019 19:00,BRZ1,Chapecoense-SC,4408644434391361419027044206181337025346411985956558269926600353115,1,1,31,6,3,3,0,11,1,0,0,2,5,0,0,164,128,7,39,9,1,5,3,11,4,1,0,0,7,0,2,131,103,8,4141,1,1,0,1,0,0
06/13/2019 19:00,BRZ1,Fluminense,9168230244781185317832508509327114985547457393755877322255234080491,1,1,69,4,2,1,1,5,2,1,0,2,10,0,1,350,320,3,61,6,1,4,1,7,1,0,0,1,11,1,6,200,172,8,433,1,-1,0,1,0,0
06/13/2019 19:00,BRZ1,Goias,23926072284050568668542959599700583521320623900879043493230095882281,2,1,32,8,4,4,0,5,2,1,0,3,7,0,1,121,92,7,32,9,1,7,1,6,1,0,0,2,5,0,0,165,113,8,4231,3,1,1,0,0,1
06/13/2019 19:00,BRZ1,Athletico-PR,26932680558020849410674946440914278404833603842841380229480326040345,1,2,68,7,3,2,2,9,4,2,0,2,4,0,1,289,233,4,68,12,3,5,4,5,3,0,0,1,6,0,2,327,307,6,4312,0,-1,0,0,1,1
06/13/2019 19:00,BRZ1,Palmeiras,19798790823580954158686712432750672391733528182065760594984737527857,2,0,62,10,5,3,2,10,4,1,0,1,8,0,1,276,231,11,42,3,1,2,0,9,5,0,0,1,5,0,0,140,95,13,4231,3,1,1,0,0,1
06/13/2019 19:00,BRZ1,Avai,15280480875944451271158391719300225945265370464210302195228354777825,0,2,38,3,1,2,0,5,1,0,0,4,10,0,0,166,126,11,58,5,1,3,1,5,0,1,0,0,8,0,1,213,182,11,4141,0,-1,0,0,1,1
06/13/2019 18:15,BRZ1,Vasco,9856924370623285484991417431937601072399113490397158900186102262800,1,0,58,9,4,0,5,6,3,2,0,1,8,0,0,262,220,8,46,9,7,2,0,11,2,0,0,0,6,0,0,220,180,8,433,3,1,1,0,0,1
06/13/2019 18:15,BRZ1,Ceara,23289242565975358195953979733891242837423863288684109416294760194600,0,1,42,1,1,0,0,9,1,0,0,4,6,0,0,183,138,6,54,7,0,4,3,5,0,3,0,6,8,0,2,243,204,9,442,0,-1,0,0,1,1
