League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
3/10/19 6:35,CHI1,Shanghai_Shenhua,1.67705E+67,1,2,54,15,6,5,4,8,5,1,0,0,2,0,0,222,184,6,48,11,3,5,3,7,4,3,0,2,5,0,1,157,107,11,4231,0,1,0,0,1,-1
3/10/19 6:35,CHI1,Hebei,1.98573E+67,2,1,46,1,1,0,0,2,2,0,0,5,7,0,1,191,149,10,52,6,3,3,0,8,1,2,0,3,8,0,4,182,140,9,4132,3,-1,1,0,0,-1
3/10/19 4:30,CHI1,Shenzhen,1.3102E+67,2,1,45,11,4,4,3,10,5,0,0,0,15,0,0,144,104,2,58,8,5,1,2,5,5,1,0,2,5,0,1,215,171,7,532,3,1,1,0,0,1
3/10/19 4:30,CHI1,Tianjin_Tianhai,5.8828E+65,1,2,55,2,1,1,0,12,0,0,0,4,9,0,1,177,122,8,42,3,2,1,0,1,5,0,0,3,6,1,0,171,126,6,433,0,-1,0,0,1,1
3/10/19 1:30,CHI1,Wuhan_Zall,2.34093E+67,1,0,68,6,1,3,2,10,2,0,0,0,8,0,0,288,240,7,46,9,6,1,2,6,2,0,0,2,5,0,1,163,125,7,541,3,1,1,0,0,1
3/10/19 1:30,CHI1,Beijing_Renhe,5.52232E+66,0,1,32,4,0,4,0,8,2,0,0,1,12,0,1,127,82,8,54,12,2,3,7,5,4,0,0,5,8,0,2,180,139,8,442,0,-1,0,0,1,1
3/9/19 5:35,CHI1,Guangzhou_R&F,6.76289E+66,3,3,57,7,2,2,3,4,2,1,0,1,7,0,2,227,187,8,59,14,8,5,1,8,2,2,0,2,6,0,1,198,171,11,442,1,1,0,1,0,0
3/9/19 5:35,CHI1,Dalian_Yifang_F.C.,2.32253E+67,3,3,43,7,2,3,2,8,2,2,0,1,3,0,0,165,129,7,41,7,4,3,0,6,1,0,0,6,6,0,1,145,112,10,4231,1,-1,0,1,0,0
3/9/19 5:35,CHI1,Shanghai_SIPG,6.36906E+66,3,2,53,3,1,0,2,8,1,0,0,0,6,0,0,253,198,8,42,5,2,1,2,7,2,0,0,1,6,0,1,163,117,7,532,3,1,1,0,0,1
3/9/19 5:35,CHI1,Jiangsu_Suning,2.17024E+67,2,3,47,5,0,5,0,5,3,1,0,0,6,0,0,221,184,5,58,10,3,5,2,8,2,1,0,1,8,0,1,209,169,14,433,0,-1,0,0,1,1
3/9/19 1:30,CHI1,Chongqing_Lifan,1.60263E+67,0,4,27,2,0,1,1,7,1,0,0,4,7,0,0,111,75,3,45,5,2,1,2,10,1,1,0,3,10,0,0,175,140,3,433,0,1,0,0,1,-1
3/9/19 1:30,CHI1,Beijing_Guoan,2.0508E+67,4,0,73,13,7,6,0,12,4,5,0,0,7,0,1,296,255,9,55,10,4,4,2,10,2,0,0,2,11,0,2,204,157,6,4132,3,-1,1,0,0,-1
3/9/19 1:30,CHI1,Shandong_Luneng,6.38077E+66,2,2,52,12,6,5,1,6,5,0,0,1,12,0,0,211,166,7,52,7,5,1,1,9,2,0,0,0,9,0,0,195,157,5,442,1,1,0,1,0,0
3/9/19 1:30,CHI1,Henan_Jianye,1.47245E+67,2,2,48,3,2,1,0,13,0,2,0,5,6,0,0,196,153,13,48,1,1,0,0,7,0,0,0,4,8,0,2,173,130,5,343,1,-1,0,1,0,0
3/8/19 5:35,CHI1,Guangzhou_Evergrande,1.1865E+67,1,0,56,7,4,1,2,9,0,1,0,3,11,0,1,218,169,11,58,7,1,5,1,13,2,2,0,1,7,0,1,208,171,6,433,3,1,1,0,0,1
3/8/19 5:35,CHI1,Tianjin_Teda,3.29542E+66,0,1,44,4,3,1,0,13,1,1,0,3,7,0,3,159,107,7,42,3,1,1,1,7,0,1,0,1,12,0,2,143,102,5,442,0,-1,0,0,1,1
