League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
05/05/2019 06:35,CHI1,Jiangsu_Suning,Jiangsu_Suning,Dalian_Yifang_F.C.,1,1,50,6,2,3,1,5,3,0,0,4,5,0,0,212,173,7,43,24,50,8,6,1,1,9,5,4,0,2,8,0,0,179,143,9,45,21,442,1,1,0,1,0,0
05/05/2019 06:35,CHI1,Dalian_Yifang_F.C.,Jiangsu_Suning,Dalian_Yifang_F.C.,1,1,50,8,4,2,2,6,3,1,0,2,6,0,2,212,167,6,51,27,50,5,3,2,0,6,1,2,0,5,5,0,1,188,154,6,53,28,4231,1,-1,0,1,0,0
05/05/2019 06:35,CHI1,Shenzhen,Shenzhen,Shanghai_Shenhua,2,1,60,7,2,2,3,7,4,0,0,1,10,0,1,193,156,11,45,21,56,10,3,7,0,8,1,1,0,3,6,0,1,182,141,5,58,19,532,3,1,1,0,0,1
05/05/2019 06:35,CHI1,Shanghai_Shenhua,Shenzhen,Shanghai_Shenhua,1,2,40,5,1,2,2,10,2,0,0,2,5,0,1,132,97,6,42,5,44,9,4,4,1,5,4,2,0,1,5,0,2,144,104,6,47,18,3142,0,-1,0,0,1,1
05/05/2019 06:35,CHI1,Tianjin_Tianhai,Tianjin_Tianhai,Chongqing_Lifan,3,3,54,4,1,2,1,15,3,2,0,0,3,0,0,266,218,8,46,22,50,10,5,1,4,5,1,1,0,2,12,1,1,182,135,8,38,24,4231,1,1,0,1,0,0
05/05/2019 06:35,CHI1,Chongqing_Lifan,Tianjin_Tianhai,Chongqing_Lifan,3,3,46,9,2,6,1,4,0,1,0,1,13,0,1,228,187,3,40,21,50,7,3,1,3,13,4,0,0,2,7,0,2,180,135,8,47,35,433,1,-1,0,1,0,0
05/05/2019 02:30,CHI1,Beijing_Renhe,Beijing_Renhe,Henan_Jianye,1,2,51,10,5,2,3,6,2,1,0,0,6,0,0,199,156,9,48,10,61,5,2,2,1,5,3,0,0,1,7,1,4,202,159,13,58,29,442,0,1,0,0,1,-1
05/05/2019 02:30,CHI1,Henan_Jianye,Beijing_Renhe,Henan_Jianye,2,1,49,2,1,1,0,8,1,2,0,4,8,0,1,181,135,7,62,17,39,7,2,5,0,6,4,0,0,2,4,0,2,125,92,11,44,28,352,3,-1,1,0,0,-1
05/04/2019 06:35,CHI1,Guangzhou_Evergrande,Guangzhou_Evergrande,Beijing_Guoan,0,1,52,9,3,3,3,4,5,0,0,1,5,0,0,238,184,10,88,35,52,11,1,8,2,4,1,1,0,0,2,0,0,246,196,11,73,37,4132,0,1,0,0,1,-1
05/04/2019 06:35,CHI1,Beijing_Guoan,Guangzhou_Evergrande,Beijing_Guoan,1,0,48,3,1,1,1,10,2,3,0,3,5,0,0,227,177,10,48,8,48,4,1,2,1,4,2,2,0,1,3,0,1,253,191,8,55,16,4132,3,-1,1,0,0,-1
05/04/2019 06:35,CHI1,Shandong_Luneng,Shandong_Luneng,Hebei,2,0,47,10,2,7,1,2,2,1,0,1,2,0,0,195,161,9,44,28,49,2,1,1,0,2,5,0,0,1,10,0,0,219,174,6,49,31,442,3,1,1,0,0,1
05/04/2019 06:35,CHI1,Hebei,Shandong_Luneng,Hebei,0,2,53,6,1,4,1,2,5,0,0,0,2,0,0,225,181,8,44,33,51,9,1,4,4,8,1,0,0,1,2,0,0,238,196,7,55,42,3412,0,-1,0,0,1,1
05/04/2019 04:30,CHI1,Shanghai_SIPG,Shanghai_SIPG,Guangzhou_R&F,2,0,55,6,2,4,0,9,0,0,0,0,9,0,1,268,219,17,79,28,41,8,4,3,1,6,5,0,0,1,9,0,1,160,119,12,57,22,343,3,1,1,0,0,1
05/04/2019 04:30,CHI1,Guangzhou_R&F,Shanghai_SIPG,Guangzhou_R&F,0,2,45,2,0,1,1,10,1,1,0,2,9,0,1,219,182,9,46,16,59,5,1,2,2,9,3,0,0,2,6,0,1,247,207,17,57,31,343,0,-1,0,0,1,1
05/04/2019 02:30,CHI1,Wuhan_Zall,Wuhan_Zall,Tianjin_Teda,1,1,46,3,1,2,0,7,3,0,0,1,7,0,0,204,164,6,48,13,46,8,3,1,4,9,3,1,0,1,7,0,1,151,100,8,45,19,541,1,1,0,1,0,0
05/04/2019 02:30,CHI1,Tianjin_Teda,Wuhan_Zall,Tianjin_Teda,1,1,54,4,2,1,1,3,0,0,0,1,8,0,0,242,200,8,56,18,54,5,1,3,1,6,1,1,0,2,12,0,3,188,145,11,56,20,433,1,-1,0,1,0,0
