League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
07/01/2019 07:35,CHI1,Shanghai_Shenhua,16770508592370376201731976251022652969811337086856557950877113326069,0,3,39,9,2,6,1,13,2,1,0,1,5,0,1,173,125,4,35,3,0,2,1,9,1,2,0,1,1,0,0,194,147,6,352,0,1,0,0,1,-1
07/01/2019 07:35,CHI1,Guangzhou_Evergrande,11865022546538649136181850319168633296063689877690577905215274822555,3,0,61,4,3,0,1,5,0,0,0,2,12,0,2,278,223,8,65,9,2,4,3,2,1,1,0,0,7,0,1,350,314,8,433,3,-1,1,0,0,-1
06/30/2019 07:35,CHI1,Shandong_Luneng,6380774318837999907636871040200435991537581665967759660027635065971,2,0,38,3,2,1,0,8,0,0,0,4,3,0,2,173,129,7,28,3,0,1,2,6,2,0,0,3,7,0,1,131,87,13,4231,3,1,1,0,0,1
06/30/2019 07:35,CHI1,Beijing_Guoan,20508035862808223180048586898706571992891101345669485808211571430432,0,2,62,12,4,6,2,5,2,3,0,0,6,0,0,289,239,6,72,10,3,6,1,7,5,1,0,0,5,0,0,308,260,17,4231,0,-1,0,0,1,1
06/30/2019 07:35,CHI1,Shenzhen,13101950552299253041273134044967699633601605878408484583850682845577,0,1,54,8,1,4,3,5,5,0,0,3,3,0,0,245,206,4,54,7,0,2,5,6,4,1,0,1,7,0,2,239,208,6,532,0,1,0,0,1,-1
06/30/2019 07:35,CHI1,Shanghai_SIPG,6369064620048760742886076464912565746721003626709432157109409430905,1,0,46,4,3,1,0,2,2,0,0,1,7,0,1,213,176,3,46,4,2,1,1,4,1,0,0,0,4,0,0,212,185,4,343,3,-1,1,0,0,-1
06/30/2019 07:35,CHI1,Tianjin_Tianhai,588279789962630285231078882984450889891404788882272799937449544165,2,2,35,3,2,1,0,8,0,1,0,2,8,0,2,165,119,4,35,4,2,1,1,8,0,1,0,1,10,0,3,129,97,7,343,1,1,0,1,0,0
06/30/2019 07:35,CHI1,Jiangsu_Suning,21702438001190919162185076747164976716673634405226591310952702135208,2,2,65,3,2,1,0,8,2,0,0,1,8,0,1,299,258,4,65,8,3,4,1,9,3,0,0,1,8,0,1,237,196,8,433,1,-1,0,1,0,0
06/29/2019 07:35,CHI1,Beijing_Renhe,5522319382127109850364869838224810849376726631851522597270409396365,1,3,31,5,2,2,1,9,2,2,0,5,4,0,0,125,87,7,49,4,2,2,0,4,2,0,0,1,11,0,2,193,153,7,4411,0,1,0,0,1,-1
06/29/2019 07:35,CHI1,Dalian_Yifang_F.C.,23225288706402077055659749953708087459490661618591774897820923422808,3,1,69,12,5,3,4,5,7,1,0,1,7,0,0,273,221,9,51,11,4,4,3,10,3,2,0,2,5,0,0,194,164,8,442,3,-1,1,0,0,-1
06/29/2019 07:35,CHI1,Chongqing_Lifan,16026251406737792952045196350449090541447388726267876146864117614900,1,0,56,3,1,1,1,7,1,1,0,0,6,0,1,174,117,7,36,4,2,1,1,9,1,1,0,1,6,0,0,105,64,7,433,3,1,1,0,0,1
06/29/2019 07:35,CHI1,Tianjin_Teda,3295422735813362537130482040400477420315860459826428972503233130016,0,1,44,6,0,5,1,5,3,1,0,1,5,0,1,131,77,15,64,7,1,6,0,7,4,1,0,1,7,0,1,179,138,8,433,0,-1,0,0,1,1
06/29/2019 07:35,CHI1,Guangzhou_R&F,6762893228239605803379600306648610097746541531159446123949235136186,2,0,66,7,2,3,2,6,1,0,0,2,9,0,2,265,239,9,66,6,2,4,0,7,2,0,0,0,4,0,1,298,273,9,442,3,1,1,0,0,1
06/29/2019 07:35,CHI1,Henan_Jianye,14724524457112933887999949606294475929522337611141035008862806943116,0,2,34,2,2,0,0,12,1,0,0,1,7,0,0,138,105,7,34,4,0,2,2,3,3,0,0,1,7,0,1,144,116,8,541,0,-1,0,0,1,1
06/29/2019 07:35,CHI1,Hebei,19857314038737955857648054606078927779994813134080968704834258982094,0,2,51,7,1,4,2,3,7,0,0,0,4,0,1,194,149,4,51,13,4,4,5,7,3,1,0,2,9,0,1,197,162,6,541,0,1,0,0,1,-1
06/29/2019 07:35,CHI1,Wuhan_Zall,23409257381366619432098798684773494009852281593941843092351474671391,2,0,49,3,0,2,1,6,2,2,0,1,3,0,0,197,157,2,49,6,4,2,0,7,1,0,0,4,8,0,1,202,161,6,433,3,-1,1,0,0,-1
