League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target,
7/17/19 7:35,CHI1,Beijing_Guoan,2.0508E+67,2,1,73,10,3,4,3,4,5,0,0,1,4,0,1,355,302,11,61,10,4,5,1,10,6,0,0,1,11,0,1,198,161,9,4231,3,1,1,0,0,1
7/17/19 7:35,CHI1,Beijing_Renhe,5.52232E+66,1,2,27,4,1,3,0,4,0,0,0,2,4,0,0,130,85,15,39,7,2,4,1,8,2,0,0,3,11,0,3,145,103,12,451,0,-1,0,0,1,1
7/17/19 7:35,CHI1,Shandong_Luneng,6.38077E+66,2,1,57,6,2,3,1,6,1,0,0,3,2,0,0,209,169,4,40,13,3,6,4,6,4,0,0,2,4,0,0,163,131,3,442,3,1,1,0,0,1
7/17/19 7:35,CHI1,Tianjin_Tianhai,5.8828E+65,1,2,43,6,3,2,1,1,1,0,0,0,6,0,0,166,125,7,60,5,3,2,0,6,2,2,0,3,4,0,0,230,197,11,4141,0,-1,0,0,1,1
7/17/19 7:35,CHI1,Shanghai_SIPG,6.36906E+66,3,0,57,5,3,1,1,3,1,0,0,0,8,0,0,264,232,9,41,12,4,5,3,6,1,1,0,0,7,0,0,187,151,8,3412,3,1,1,0,0,1
7/17/19 7:35,CHI1,Hebei,1.98573E+67,0,3,43,1,0,0,1,11,1,3,0,2,3,0,0,199,168,7,59,3,0,3,0,7,0,0,0,2,6,0,1,271,228,8,3142,0,-1,0,0,1,1
7/17/19 7:35,CHI1,Shenzhen,1.3102E+67,0,2,51,3,1,0,2,3,2,0,0,0,11,0,1,184,144,7,47,12,1,4,7,7,4,1,0,2,5,0,0,150,92,9,541,0,1,0,0,1,-1
7/17/19 7:35,CHI1,Chongqing_Lifan,1.60263E+67,2,0,49,5,0,4,1,12,3,1,0,1,2,0,0,180,132,3,53,6,4,1,1,4,1,1,0,1,7,0,2,178,136,6,4231,3,-1,1,0,0,-1League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
07/17/2019 07:35,CHI1,Wuhan_Zall,23409257381366619432098798684773494009852281593941843092351474671391,1,1,60,0,0,0,0,6,0,0,0,0,6,0,1,239,200,13,74,7,3,2,2,3,4,0,0,0,10,0,1,272,241,4,433,1,1,0,1,0,0
07/17/2019 07:35,CHI1,Jiangsu_Suning,21702438001190919162185076747164976716673634405226591310952702135208,1,1,40,6,1,3,2,5,2,0,0,0,7,1,1,157,123,3,26,0,0,0,0,8,1,1,0,2,6,0,2,97,61,5,442,1,-1,0,1,0,0
