,Home,Away,HomeOdds,DrawOdds,AwayOdds,Round
0,Liberec,Sparta_Pragu,3.95,3.17,1.96,7
1,Mlada_Boleslav,Ceske_Budejovic,1.45,4.28,6.33,7
2,Plzen,Opav,1.27,5.34,9.41,7
3,Pribram,Jablone,3.44,3.28,2.06,7
4,Slavia_Prague,Bohemians_190,1.24,5.65,10.06,7
5,Zlin,Karvin,1.71,3.53,4.76,7
6,Ostrava,Slovack,2.27,3.12,3.14,7
7,Sigma_Olomouc,Teplic,1.75,3.53,4.45,7
8,Jablonec,Mlada_Bolesla,1.82,3.58,4.01,6
9,Karvina,Libere,3.18,3.07,2.28,6
10,Sparta_Prague,Ostrav,1.53,4.07,5.55,6
11,Teplice,Plze,4.07,3.53,1.81,6
12,Bohemians_1905,Sigma_Olomou,2.23,3.16,3.19,6
13,Opava,Zli,2.32,3.24,2.94,6
14,Slovacko,Pribra,1.51,4.12,5.79,6
15,Ceske_Budejovice,Slavia_Pragu,7.89,4.82,1.34,6
16,Jablonec,Opav,1.45,4.22,6.40,5
17,Mlada_Boleslav,Sparta_Pragu,3.05,3.38,2.19,5
18,Plzen,Slovack,1.56,3.85,5.55,5
19,Ostrava,Bohemians_190,1.97,3.10,4.02,5
20,Pribram,Ceske_Budejovic,2.27,3.31,2.95,5
21,Sigma_Olomouc,Karvin,1.75,3.42,4.63,5
22,Slavia_Prague,Libere,1.27,5.23,9.65,5
23,Zlin,Teplic,1.83,3.43,4.18,5
24,Ceske_Budejovice,Jablone,2.85,3.26,2.37,4
25,Karvina,Slavia_Pragu,10.44,5.54,1.24,4
26,Sparta_Prague,Pribra,1.19,6.52,11.89,4
27,Bohemians_1905,Plze,3.85,3.38,1.91,4
28,Liberec,Sigma_Olomou,1.85,3.30,4.21,4
29,Slovacko,Zli,1.97,3.30,3.70,4
30,Opava,Ostrav,2.85,3.19,2.40,4
31,Ceske_Budejovice,Sparta_Pragu,5.20,3.78,1.60,3
32,Jablonec,Slovack,1.88,3.46,3.89,3
33,Mlada_Boleslav,Opav,1.53,3.91,5.81,3
34,Slavia_Prague,Sigma_Olomou,1.17,7.02,12.83,3
35,Plzen,Karvin,1.23,5.65,10.93,3
36,Pribram,Bohemians_190,2.73,3.16,2.51,3
37,Zlin,Libere,2.82,3.08,2.50,3
38,Ostrava,Teplic,1.62,3.70,5.16,3
39,Karvina,Ostrav,3.14,3.18,2.23,2
40,Bohemians_1905,Mlada_Bolesla,2.63,3.18,2.59,2
41,Teplice,Slavia_Pragu,10.10,5.40,1.26,2
42,Opava,Pribra,1.74,3.69,4.29,2
43,Sigma_Olomouc,Zli,2.11,3.26,3.34,2
44,Slovacko,Ceske_Budejovic,1.59,3.71,5.57,2
45,Sparta_Prague,Jablone,1.96,3.31,3.76,2
46,Liberec,Plze,3.03,3.07,2.37,2
47,Zlin,Slavia_Pragu,7.94,4.88,1.33,1
48,Ceske_Budejovice,Opav,1.99,3.38,3.57,1
49,Mlada_Boleslav,Karvin,1.43,4.46,6.44,1
50,Sparta_Prague,Slovack,1.41,4.23,7.36,1
51,Ostrava,Libere,2.23,3.02,3.32,1
52,Plzen,Sigma_Olomou,1.32,4.92,8.49,1
53,Pribram,Teplic,2.39,3.23,2.84,1
54,Jablonec,Bohemians_190,1.57,3.69,5.74,1
