League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
08/11/2019 12:00,CZR1,Mlada_Boleslav,Mlada_Boleslav,Sparta_Prague,4,3,49,5,2,3,0,12,3,0,11,2,0,0,0,0,0,0,54,29,45,5,3,2,0,7,5,0,7,3,0,0,1,0,0,0,41,28,442,3,1,1,0,0,1
08/11/2019 12:00,CZR1,Sparta_Prague,Mlada_Boleslav,Sparta_Prague,3,4,51,6,3,3,0,13,1,0,11,0,0,0,0,0,0,0,54,36,55,9,5,4,0,11,5,0,11,1,0,0,1,0,0,0,56,44,451,0,-1,0,0,1,1
08/11/2019 09:30,CZR1,Jablonec,Jablonec,Opava,2,1,58,0,0,0,0,6,3,0,14,3,0,0,0,0,0,0,64,46,62,8,5,3,0,6,5,0,9,2,0,0,0,0,0,0,58,44,442,3,1,1,0,0,1
08/11/2019 09:30,CZR1,Opava,Jablonec,Opava,1,2,42,3,3,0,0,5,0,0,12,0,0,0,2,0,0,0,51,17,38,3,3,0,0,3,0,0,12,3,0,1,1,0,0,0,64,31,451,0,-1,0,0,1,1
08/11/2019 09:30,CZR1,Plzen,Plzen,Slovacko,0,2,62,3,0,3,0,12,2,0,16,1,0,0,0,0,0,0,64,36,58,7,2,5,0,9,1,0,17,0,0,0,1,0,0,0,79,53,4231,0,1,0,0,1,-1
08/11/2019 09:30,CZR1,Slovacko,Plzen,Slovacko,2,0,38,4,2,2,0,3,0,0,12,0,0,0,1,0,0,0,54,23,42,4,1,3,0,4,1,0,4,2,0,0,1,0,0,0,37,24,4231,3,-1,1,0,0,-1
08/10/2019 12:30,CZR1,Slavia_Prague,Slavia_Prague,Liberec,1,0,56,7,3,4,0,9,6,0,15,0,0,0,0,0,0,0,53,36,52,8,4,4,0,12,3,0,13,0,0,0,2,0,0,0,61,34,4141,3,1,1,0,0,1
08/10/2019 12:30,CZR1,Liberec,Slavia_Prague,Liberec,0,1,44,3,0,3,0,7,2,0,15,2,0,0,3,0,0,0,46,18,48,0,0,0,0,9,1,0,23,4,0,0,0,0,0,0,41,19,4231,0,-1,0,0,1,1
08/10/2019 10:00,CZR1,Pribram,Pribram,Ceske_Budejovice,2,0,59,10,7,3,0,13,2,0,18,1,0,0,0,0,0,0,59,39,55,2,1,1,0,14,1,0,12,1,0,0,1,0,0,0,60,26,4411,3,1,1,0,0,1
08/10/2019 10:00,CZR1,Ceske_Budejovice,Pribram,Ceske_Budejovice,0,2,41,2,1,1,0,6,0,0,15,5,0,0,1,0,0,0,56,23,45,5,1,4,0,12,3,0,11,1,0,0,4,0,0,0,62,36,4231,0,-1,0,0,1,1
08/10/2019 10:00,CZR1,Sigma_Olomouc,Sigma_Olomouc,Karvina,1,1,54,7,4,3,0,9,5,0,11,0,0,0,0,0,0,0,52,38,48,8,5,3,0,10,2,0,11,3,0,0,2,0,0,0,65,34,4141,1,1,0,1,0,0
08/10/2019 10:00,CZR1,Karvina,Sigma_Olomouc,Karvina,1,1,46,0,0,0,0,6,1,0,13,3,0,0,2,0,0,0,62,24,52,6,4,2,0,10,2,0,10,5,0,0,0,0,0,0,53,36,4231,1,-1,0,1,0,0
08/10/2019 08:00,CZR1,Ostrava,Ostrava,Bohemians_1905,4,2,54,5,4,1,0,8,2,0,20,0,0,0,0,0,0,0,53,34,52,11,4,7,0,9,6,0,5,1,0,0,1,0,0,0,46,29,4411,3,1,1,0,0,1
08/10/2019 08:00,CZR1,Bohemians_1905,Ostrava,Bohemians_1905,2,4,46,1,1,0,0,7,0,0,13,2,0,0,2,0,0,0,44,16,48,3,2,1,0,6,1,0,13,2,0,0,0,0,0,0,38,21,343,0,-1,0,0,1,1
08/09/2019 11:00,CZR1,Zlin,Zlin,Teplice,1,0,66,3,2,1,0,16,1,0,14,1,0,0,1,0,0,0,82,42,56,9,4,5,0,12,2,0,14,6,0,0,1,0,0,0,59,43,352,3,1,1,0,0,1
08/09/2019 11:00,CZR1,Teplice,Zlin,Teplice,0,1,34,3,1,2,0,10,2,0,12,2,0,0,2,0,0,0,56,27,44,9,6,3,0,9,2,0,8,3,0,0,1,0,0,0,61,33,451,0,-1,0,0,1,1
