,Home,Away,HomeOdds,DrawOdds,AwayOdds,Round
0,Hiroshima,Oit,1.99,3.23,3.86,24
1,Iwata,C-Osak,3.52,3.35,2.04,24
2,Kawasaki_Frontale,Shimiz,1.50,4.21,5.92,24
3,Nagoya,Yokohama_M,2.19,3.78,2.84,24
4,Sapporo,FC_Toky,2.44,3.34,2.74,24
5,Vegalta_Sendai,Shona,2.08,3.54,3.23,24
6,Kashima,G-Osak,2.11,3.49,3.21,24
7,Sagan_Tosu,Kob,3.37,3.63,2.00,24
8,Urawa,Yamag,2.31,3.08,3.18,24
9,G-Osaka,Iwat,1.96,3.57,3.55,23
10,Yamaga,Nagoy,3.96,3.55,1.86,23
11,FC_Tokyo,Hiroshim,2.28,3.10,3.22,23
12,Kobe,Uraw,2.39,3.55,2.69,23
13,Oita,Kashim,2.65,3.31,2.54,23
14,Shimizu,Sappor,2.68,3.55,2.40,23
15,Shonan,Sagan_Tos,2.29,3.28,3.04,23
16,Vegalta_Sendai,Kawasaki_Frontal,3.74,3.57,1.91,23
17,Yokohama_M.,C-Osak,2.60,3.44,2.52,23
18,C-Osaka,Sagan_Tos,1.66,3.54,5.28,22
19,Iwata,Shona,2.34,3.35,2.88,22
20,FC_Tokyo,Vegalta_Senda,1.80,3.49,4.26,22
21,G-Osaka,Hiroshim,2.72,3.35,2.45,22
22,Kashima,Yokohama_M,2.40,3.55,2.64,22
23,Nagoya,Kawasaki_Frontal,3.19,3.60,2.07,22
24,Oita,Kob,2.55,3.47,2.54,22
25,Sapporo,Uraw,2.08,3.56,3.19,22
26,Shimizu,Yamag,2.03,3.30,3.58,22
27,Kawasaki_Frontale,Yamag,1.37,4.42,8.40,21
28,Sagan_Tosu,Oit,2.52,3.07,2.85,21
29,Urawa,Nagoy,2.56,3.46,2.53,21
30,FC_Tokyo,C-Osak,2.47,3.08,2.89,21
31,Hiroshima,Sappor,2.06,3.55,3.26,21
32,Shonan,Kashim,3.64,3.50,1.95,21
33,Vegalta_Sendai,Iwat,2.07,3.37,3.41,21
34,Yokohama_M.,Shimiz,1.72,4.03,4.06,21
35,Kobe,G-Osak,2.61,3.59,2.43,21
36,Hiroshima,Kawasaki_Frontal,3.09,3.22,2.26,16
37,Urawa,Kashim,2.92,3.33,2.31,16
38,Kawasaki_Frontale,Oit,1.50,3.99,6.35,20
39,C-Osaka,Vegalta_Senda,1.68,3.68,4.90,20
40,Iwata,Uraw,2.73,3.09,2.60,20
41,Kashima,Sagan_Tos,1.87,3.41,4.06,20
42,Kobe,Yokohama_M,2.83,3.97,2.14,20
43,Nagoya,G-Osak,2.17,3.59,3.03,20
44,Sapporo,Shona,1.74,3.74,4.34,20
45,Shimizu,FC_Toky,2.95,3.32,2.31,20
46,Yamaga,Hiroshim,4.53,3.21,1.86,20
47,FC_Tokyo,Kawasaki_Frontal,3.06,3.16,2.33,19
48,Shonan,Kob,2.91,3.50,2.26,19
49,C-Osaka,Nagoy,2.19,3.39,3.11,19
50,G-Osaka,Shimiz,2.28,3.53,2.85,19
51,Oita,Sappor,2.61,3.29,2.59,19
52,Sagan_Tosu,Hiroshim,3.44,3.10,2.17,19
53,Vegalta_Sendai,Kashim,2.91,3.37,2.31,19
54,Yamaga,Iwat,2.95,2.90,2.57,19
55,Yokohama_M.,Uraw,1.92,3.56,3.68,19
56,FC_Tokyo,G-Osak,1.83,3.51,4.11,18
57,Kawasaki_Frontale,Sagan_Tos,1.49,4.08,6.35,18
58,Nagoya,Shona,1.55,4.22,5.22,18
59,Sapporo,Yamag,1.62,3.73,5.34,18
60,Hiroshima,C-Osak,2.33,3.01,3.19,18
61,Kashima,Iwat,1.69,3.63,4.81,18
62,Shimizu,Kob,2.78,3.69,2.26,18
63,Urawa,Vegalta_Senda,2.20,3.27,3.19,18
64,Yokohama_M.,Oit,1.70,3.93,4.33,18
65,Iwata,Kawasaki_Frontal,5.52,3.81,1.59,17
66,Kashima,Hiroshim,2.49,3.09,2.85,17
67,Kobe,Nagoy,2.45,3.64,2.56,17
68,Oita,Uraw,2.25,3.14,3.22,17
69,Sagan_Tosu,Shimiz,2.64,3.30,2.55,17
70,Shonan,C-Osak,3.42,3.25,2.11,17
71,Vegalta_Sendai,Sappor,2.22,3.59,2.89,17
72,FC_Tokyo,Yokohama_M,2.10,3.40,3.29,17
73,Yamaga,G-Osak,3.25,3.04,2.28,17
74,Vegalta_Sendai,FC_Toky,3.50,3.30,2.06,16
75,C-Osaka,Iwat,1.88,3.33,4.16,16
76,G-Osaka,Shona,2.00,3.52,3.44,16
77,Kobe,Oit,2.29,3.35,2.94,16
78,Nagoya,Shimiz,1.68,4.13,4.19,16
79,Sapporo,Sagan_Tos,1.85,3.44,4.08,16
80,Yokohama_M.,Yamag,1.78,3.62,4.20,16
81,FC_Tokyo,Kob,1.83,3.47,4.12,15
82,Iwata,G-Osak,2.60,3.24,2.63,15
83,Oita,Nagoy,3.29,3.49,2.06,15
84,Shimizu,Yokohama_M,3.01,3.74,2.11,15
85,Urawa,Sagan_Tos,2.14,3.14,3.47,15
86,Yamaga,Vegalta_Senda,2.65,3.07,2.68,15
87,Hiroshima,Shona,1.79,3.45,4.44,15
88,Kashima,C-Osak,2.18,3.12,3.38,15
89,Kawasaki_Frontale,Sappor,1.44,4.45,6.40,15
90,FC_Tokyo,Oit,1.85,3.30,4.33,14
91,G-Osaka,Kashim,3.18,3.33,2.18,14
92,Iwata,Kob,2.55,3.38,2.59,14
93,Kawasaki_Frontale,Uraw,1.51,4.02,6.01,14
94,Sagan_Tosu,C-Osak,3.30,2.97,2.30,14
95,Sapporo,Hiroshim,2.67,3.29,2.52,14
96,Vegalta_Sendai,Nagoy,3.40,3.61,1.99,14
97,Yamaga,Shimiz,2.80,3.18,2.49,14
98,Shonan,Yokohama_M,4.23,3.93,1.72,14
99,Kobe,Shona,2.26,3.35,2.99,13
100,Nagoya,Yamag,1.59,3.93,5.23,13
101,Oita,Kawasaki_Frontal,4.07,3.41,1.87,13
102,Sagan_Tosu,Kashim,3.88,3.25,1.97,13
103,Urawa,Hiroshim,2.61,3.01,2.78,13
104,Yokohama_M.,Iwat,2.00,3.48,3.50,13
105,C-Osaka,FC_Toky,2.93,2.87,2.60,13
106,Sapporo,G-Osak,1.97,3.61,3.45,13
107,Shimizu,Vegalta_Senda,2.14,3.34,3.25,13
108,FC_Tokyo,Sappor,1.75,3.66,4.37,12
109,G-Osaka,C-Osak,3.10,3.21,2.27,12
110,Iwata,Vegalta_Senda,2.40,3.20,2.89,12
111,Kashima,Yamag,1.73,3.40,4.89,12
112,Oita,Shimiz,2.06,3.41,3.39,12
113,Yokohama_M.,Kob,1.86,3.81,3.66,12
114,Hiroshima,Sagan_Tos,1.93,3.12,4.19,12
115,Kawasaki_Frontale,Nagoy,1.86,3.79,3.65,12
116,Urawa,Shona,2.60,3.07,2.74,12
117,FC_Tokyo,Iwat,1.82,3.31,4.45,11
118,Kobe,Kashim,2.87,3.35,2.33,11
119,Nagoya,Uraw,2.03,3.54,3.32,11
120,Shimizu,Kawasaki_Frontal,5.20,4.04,1.58,11
121,Shonan,Oit,2.51,3.13,2.81,11
122,Vegalta_Sendai,Hiroshim,3.03,3.21,2.32,11
123,Yamaga,Sappor,3.04,3.15,2.34,11
124,C-Osaka,Yokohama_M,2.64,3.26,2.57,11
125,Sagan_Tosu,G-Osak,3.25,3.19,2.20,11
126,G-Osaka,FC_Toky,3.36,3.26,2.12,10
127,Oita,Sagan_Tos,1.93,3.28,3.95,10
128,Sapporo,Kob,2.17,3.60,2.99,10
129,Shonan,Nagoy,3.15,3.35,2.18,10
130,Yamaga,C-Osak,3.02,2.84,2.55,10
131,Hiroshima,Yokohama_M,2.38,3.22,2.91,10
132,Kashima,Shimiz,1.87,3.54,3.89,10
133,Kawasaki_Frontale,Vegalta_Senda,1.57,3.89,5.51,10
134,Urawa,Iwat,2.07,3.23,3.59,10
135,FC_Tokyo,Yamag,1.74,3.36,4.90,9
136,Iwata,Sappor,2.83,3.31,2.39,9
137,Kobe,Kawasaki_Frontal,3.20,3.32,2.17,9
138,Nagoya,Hiroshim,2.47,3.15,2.82,9
139,Sagan_Tosu,Shona,2.47,3.01,2.95,9
140,Shimizu,Uraw,2.55,3.28,2.65,9
141,Vegalta_Sendai,G-Osak,2.78,3.48,2.34,9
142,Yokohama_M.,Kashim,2.59,3.39,2.54,9
143,C-Osaka,Oit,2.44,3.04,2.96,9
144,G-Osaka,Oit,2.68,3.27,2.52,8
145,Kashima,Vegalta_Senda,1.85,3.58,3.94,8
146,Nagoya,Iwat,1.83,3.66,3.95,8
147,Sapporo,Yokohama_M,2.59,3.69,2.40,8
148,Shimizu,C-Osak,2.82,3.30,2.40,8
149,Urawa,Kob,2.28,3.42,2.91,8
150,Yamaga,Sagan_Tos,2.27,2.99,3.34,8
151,Hiroshima,FC_Toky,2.95,3.03,2.46,8
152,Kawasaki_Frontale,Shona,1.54,3.97,5.79,8
153,FC_Tokyo,Kashim,2.29,3.31,2.98,7
154,G-Osaka,Uraw,2.41,3.38,2.75,7
155,Iwata,Shimiz,2.62,3.31,2.55,7
156,Kobe,Hiroshim,2.51,3.23,2.72,7
157,Oita,Vegalta_Senda,2.03,3.40,3.48,7
158,Sagan_Tosu,Kawasaki_Frontal,5.37,3.70,1.62,7
