League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
04/06/2019 05:00,JP1,Yamaga,Yamaga,Kobe,2,1,33,9,3,6,0,7,3,1,0,1,7,0,0,119,0,19,35,36,33,4,1,3,0,8,4,0,0,5,6,0,1,103,0,13,41,26,3421,3,1,1,0,0,1
04/06/2019 05:00,JP1,Kobe,Yamaga,Kobe,1,2,67,2,1,1,0,8,1,1,0,1,6,0,1,347,0,17,63,40,67,11,6,5,0,6,6,1,0,1,7,0,1,285,0,10,66,51,4231,0,-1,0,0,1,1
04/06/2019 02:00,JP1,Shonan,Shonan,Iwata,0,2,42,6,3,3,0,7,1,1,0,0,10,0,1,168,0,7,40,21,46,2,0,2,0,7,1,2,0,0,8,0,2,158,0,6,45,26,3421,0,1,0,0,1,-1
04/06/2019 02:00,JP1,Iwata,Shonan,Iwata,2,0,58,11,0,11,0,11,4,1,0,3,6,0,1,193,0,12,43,24,54,5,1,4,0,11,4,0,0,0,7,0,2,173,0,8,46,29,3421,3,-1,1,0,0,-1
04/06/2019 00:00,JP1,FC_Tokyo,FC_Tokyo,Shimizu,2,1,52,4,2,2,0,5,5,3,0,1,8,0,0,267,0,10,57,37,52,8,4,4,0,7,2,1,0,4,1,0,1,243,0,6,59,35,442,3,1,1,0,0,1
04/06/2019 00:00,JP1,Shimizu,FC_Tokyo,Shimizu,1,2,48,7,1,6,0,11,0,0,0,2,6,0,0,223,0,14,56,22,48,10,5,5,0,2,3,2,0,2,5,0,1,205,0,18,61,30,442,0,-1,0,0,1,1
04/06/2019 00:00,JP1,Hiroshima,Hiroshima,G-Osaka,3,0,37,2,2,0,0,3,2,1,0,3,9,0,1,167,0,12,40,32,33,5,4,1,0,4,1,0,0,1,8,0,0,156,0,11,33,22,3421,3,1,1,0,0,1
04/06/2019 00:00,JP1,G-Osaka,Hiroshima,G-Osaka,0,3,63,5,3,2,0,10,2,0,0,0,3,0,1,441,0,10,50,32,67,6,1,5,0,8,2,0,0,3,4,0,0,377,0,12,56,46,4231,0,-1,0,0,1,1
04/06/2019 00:00,JP1,Vegalta_Sendai,Vegalta_Sendai,Sagan_Tosu,3,0,43,6,2,4,0,6,1,1,0,2,6,0,0,177,0,5,49,35,41,10,5,5,0,9,8,1,0,2,8,0,0,119,0,12,42,42,352,3,1,1,0,0,1
04/06/2019 00:00,JP1,Sagan_Tosu,Vegalta_Sendai,Sagan_Tosu,0,3,57,6,2,4,0,7,2,1,0,1,5,0,0,260,0,9,51,30,59,4,2,2,0,9,1,0,0,3,10,0,0,214,0,10,57,32,442,0,-1,0,0,1,1
04/05/2019 23:00,JP1,Sapporo,Sapporo,Oita,1,2,57,8,2,6,0,5,4,0,0,0,10,0,0,305,0,11,45,29,63,9,2,7,0,8,2,1,0,0,7,0,1,378,0,7,60,37,3421,0,1,0,0,1,-1
04/05/2019 23:00,JP1,Oita,Sapporo,Oita,2,1,43,4,2,2,0,11,2,1,0,2,4,0,0,189,0,8,30,20,37,2,0,2,0,1,1,1,0,1,7,0,1,173,0,9,46,16,3421,3,-1,1,0,0,-1
04/05/2019 05:30,JP1,Urawa,Urawa,Yokohama_M.,0,3,44,5,0,5,0,6,3,3,0,2,7,0,0,202,0,15,61,35,0,7,1,6,0,12,2,0,0,2,4,0,0,212,0,14,59,36,4312,0,1,0,0,1,-1
04/05/2019 05:30,JP1,Yokohama_M.,Urawa,Yokohama_M.,3,0,56,5,3,2,0,10,1,0,0,0,6,0,0,314,0,14,66,32,100,8,4,4,0,4,3,3,0,1,9,0,0,343,0,9,64,44,4123,3,-1,1,0,0,-1
04/05/2019 05:00,JP1,Kashima,Kashima,Nagoya,2,1,37,5,1,4,0,10,1,1,0,0,7,0,0,126,0,11,33,12,13,8,4,4,0,13,1,1,0,1,5,0,0,177,0,12,53,38,442,3,1,1,0,0,1
04/05/2019 05:00,JP1,Nagoya,Kashima,Nagoya,1,2,63,7,0,7,0,8,4,0,0,1,10,0,0,311,0,9,52,43,87,3,2,1,0,6,1,2,0,2,11,0,3,260,0,13,53,29,442,0,-1,0,0,1,1
04/05/2019 05:00,JP1,Kawasaki_Frontale,Kawasaki_Frontale,C-Osaka,1,1,56,3,0,3,0,6,5,0,0,1,5,0,0,0,0,11,61,48,6,8,4,4,0,5,6,0,0,0,5,0,0,711,0,6,56,59,4231,1,1,0,1,0,0
04/05/2019 05:00,JP1,C-Osaka,Kawasaki_Frontale,C-Osaka,1,1,44,2,2,0,0,5,5,0,0,0,6,0,1,222,0,8,33,31,94,4,0,4,0,5,1,0,0,3,5,0,0,217,0,8,47,30,3421,1,-1,0,1,0,0
