League,Team,Team_Code,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
04/20/2019 02:00,JP1,G-Osaka,25288996196467069381723074202319955899965237197458730157087625107417,1,1,33,5,1,4,0,3,2,1,0,0,4,0,1,183,0,4,51,12,3,9,0,7,4,0,0,0,7,0,1,333,0,10,433,1,1,0,1,0,0
04/20/2019 02:00,JP1,Oita,2885764814548894276926400612303898441863443477622320398462679169850,1,1,67,4,1,3,0,5,0,0,0,1,3,0,0,441,0,5,49,4,0,4,0,8,0,1,0,2,6,0,2,234,0,12,433,1,-1,0,1,0,0
04/20/2019 01:00,JP1,Kashima,4196245969068186223034392365739249594166695836893574532579079780890,1,0,61,5,0,5,0,2,2,0,0,2,4,0,0,312,0,11,53,6,1,5,0,8,5,0,0,0,10,0,0,220,0,11,4231,3,1,1,0,0,1
04/20/2019 01:00,JP1,Vegalta_Sendai,7809494096275569048641065598574690915786357635383918633229954718299,0,1,39,9,2,7,0,4,2,0,0,0,2,0,1,179,0,8,47,2,0,2,0,10,1,0,0,0,8,0,0,180,0,10,3142,0,-1,0,0,1,1
04/20/2019 01:00,JP1,Shimizu,20040564689349383462705478647281338122330893292361178846126799443330,1,0,38,9,2,7,0,3,5,0,0,1,7,0,0,169,0,7,38,4,1,3,0,7,2,1,0,2,6,0,1,131,0,7,442,3,1,1,0,0,1
04/20/2019 01:00,JP1,C-Osaka,9379043907148681469912573764471360752304545483186507996424426661232,0,1,62,5,1,4,0,6,3,0,0,2,3,0,0,310,0,6,62,10,2,8,0,7,3,1,0,0,6,0,0,274,0,8,3421,0,-1,0,0,1,1
04/20/2019 00:00,JP1,Nagoya,2647000823339939494669889684486809173375737948133929462600207704981,1,0,66,1,0,1,0,7,3,0,0,2,6,0,0,397,0,14,58,4,1,3,0,13,2,2,0,2,10,0,1,240,0,10,442,3,1,1,0,0,1
04/20/2019 00:00,JP1,Iwata,21113602172018634849213640505188741730663865533717992988839950919223,0,1,34,6,2,4,0,6,3,1,0,0,6,0,0,123,0,9,42,7,2,5,0,12,0,5,0,0,8,1,4,160,0,10,3421,0,-1,0,0,1,1
04/20/2019 00:00,JP1,Yamaga,5152160968020653588368301713562173418849941119435067518794398247800,1,0,37,7,4,3,0,6,2,2,0,2,6,0,0,129,0,16,35,4,0,4,0,4,0,1,0,1,7,0,1,88,0,11,3421,3,1,1,0,0,1
04/20/2019 00:00,JP1,Sagan_Tosu,14107688217751634115458862979298242762167742261476935255801736987466,0,1,63,5,2,3,0,8,0,1,0,3,5,0,0,271,0,6,65,8,1,7,0,8,7,1,0,0,3,0,0,293,0,11,4231,0,-1,0,0,1,1
04/19/2019 23:00,JP1,Sapporo,2241648638029914517776267486710370180234226226401216828149467567932,3,0,29,6,4,2,0,10,1,5,0,1,9,0,0,123,0,18,43,8,3,5,0,7,3,1,0,1,11,0,0,179,0,16,3412,3,1,1,0,0,1
04/19/2019 23:00,JP1,Yokohama_M.,16094920739936548237032227990675930372657339450634973912855699429460,0,3,71,6,1,5,0,13,2,1,0,1,9,0,0,391,0,12,57,5,1,4,0,12,3,2,0,3,5,0,0,290,0,11,433,0,-1,0,0,1,1
04/19/2019 23:00,JP1,Urawa,12277803513596284668678681490685672364591056843865351348739412613579,1,0,31,5,2,3,0,8,5,0,0,2,6,0,0,124,0,13,29,1,1,0,0,6,0,0,0,4,5,0,1,109,0,16,3421,3,1,1,0,0,1
04/19/2019 23:00,JP1,Kobe,10699480890510115862819528383202209775422954578987147442466341067218,0,1,69,3,2,1,0,7,2,1,0,1,8,0,2,338,0,8,71,10,4,6,0,3,6,0,0,1,6,0,0,385,0,10,4231,0,-1,0,0,1,1
04/19/2019 05:00,JP1,Hiroshima,22379657337813113839422123288363214537262931752166586978660657845533,0,1,55,1,0,1,0,4,0,3,0,1,4,0,0,291,0,9,51,3,1,2,0,9,5,0,0,0,8,0,1,257,0,8,343,0,1,0,0,1,-1
04/19/2019 05:00,JP1,FC_Tokyo,25761376114469815702903512838621258197390868179672640189077709806268,1,0,45,4,1,3,0,7,2,1,0,0,3,0,0,241,0,5,49,1,1,0,0,8,1,0,0,1,9,0,0,229,0,6,442,3,-1,1,0,0,-1
04/19/2019 05:00,JP1,Kawasaki_Frontale,10560245902826127973398162666475706200810874341131383835747628649601,2,0,52,5,2,3,0,5,2,1,0,0,5,0,0,393,0,8,52,6,1,5,0,3,4,0,0,3,2,0,0,328,0,12,4231,3,1,1,0,0,1
04/19/2019 05:00,JP1,Shonan,21951827362008594648883536910653776723247785863029201883067385866188,0,2,48,3,0,3,0,6,1,1,0,0,4,0,1,286,0,10,48,6,3,3,0,2,7,0,0,1,3,0,0,280,0,13,343,0,-1,0,0,1,1
