,Home,Away,HomeOdds,DrawOdds,AwayOdds,Round
0,Bodo/Glimt,Valereng,1.74,3.93,4.26,19
1,Brann,Troms,1.37,4.91,7.76,19
2,Haugesund,Lillestro,1.75,3.68,4.64,19
3,Kristiansund,Mjondale,2.07,3.43,3.50,19
4,Molde,Od,1.81,3.71,4.19,19
5,Stromsgodset,Sarpsborg_0,2.79,3.24,2.52,19
6,Viking,Ranhei,1.77,3.91,4.15,19
7,Rosenborg,Stabae,1.37,4.73,8.44,19
8,Sarpsborg_08,Bodo/Glim,2.23,3.52,3.00,18
9,Mjondalen,Bran,3.75,3.54,1.95,18
10,Ranheim,Mold,3.87,3.82,1.85,18
11,Stabaek,Kristiansun,2.18,3.40,3.25,18
12,Tromso,Lillestro,2.34,3.34,2.99,18
13,Valerenga,Haugesun,1.75,3.79,4.42,18
14,Viking,Stromsgodse,1.94,3.77,3.55,18
15,Odd,Rosenbor,2.10,3.35,3.49,18
16,Kristiansund,Bodo/Glim,2.60,3.54,2.51,10
17,Viking,Sarpsborg_0,2.97,3.53,2.26,10
18,Stabaek,Valereng,3.16,3.47,2.18,9
19,Lillestrom,Mjondale,2.24,3.32,3.15,17
20,Bodo/Glimt,Vikin,1.52,4.35,5.63,17
21,Haugesund,Ranhei,1.69,3.80,4.83,17
22,Kristiansund,Od,3.04,3.27,2.33,17
23,Stromsgodset,Valereng,2.94,3.46,2.30,17
24,Rosenborg,Troms,1.45,4.54,6.50,17
25,Stromsgodset,Bodo/Glim,3.43,3.67,2.00,16
26,Ranheim,Bran,3.54,3.38,2.06,16
27,Stabaek,Haugesun,2.75,3.26,2.54,16
28,Tromso,Mjondale,2.37,3.31,2.93,16
29,Valerenga,Kristiansun,1.61,4.01,5.18,16
30,Viking,Mold,3.69,3.95,1.86,16
31,Odd,Lillestro,1.60,3.88,5.54,16
32,Sarpsborg_08,Rosenbor,3.01,3.26,2.35,16
33,Brann,Stabae,1.47,4.34,6.49,17
34,Molde,Sarpsborg_0,1.49,4.45,5.87,17
35,Stabaek,Sarpsborg_0,3.13,3.29,2.27,15
36,Haugesund,Troms,1.83,3.43,4.44,15
37,Lillestrom,Stromsgodse,1.89,3.47,4.07,15
38,Mjondalen,Od,3.53,3.38,2.06,15
39,Bodo/Glimt,Ranhei,1.50,4.36,5.97,15
40,Rosenborg,Vikin,1.42,4.62,7.04,15
41,Odd,Stabae,1.44,4.37,7.11,10
42,Brann,Mjondale,1.51,4.19,6.08,14
43,Kristiansund,Lillestro,1.97,3.44,3.78,14
44,Odd,Mold,2.33,3.41,2.94,14
45,Stromsgodset,Stabae,1.83,3.60,4.17,14
46,Tromso,Sarpsborg_0,3.19,3.31,2.23,14
47,Valerenga,Bodo/Glim,2.44,3.56,2.68,14
48,Viking,Haugesun,2.01,3.63,3.43,14
49,Ranheim,Rosenbor,3.97,3.49,1.90,14
50,Sarpsborg_08,Stromsgodse,1.65,3.78,5.14,13
51,Bodo/Glimt,Od,2.27,3.32,3.11,13
52,Haugesund,Valereng,2.37,3.23,3.01,13
53,Lillestrom,Troms,2.11,3.28,3.49,13
54,Mjondalen,Vikin,2.31,3.64,2.80,13
55,Molde,Bran,2.00,3.59,3.48,13
56,Stabaek,Ranhei,2.62,3.18,2.71,13
57,Rosenborg,Kristiansun,1.57,3.90,5.80,13
58,Brann,Lillestro,1.33,4.92,8.88,12
59,Kristiansund,Stabae,1.58,3.99,5.48,12
60,Odd,Haugesun,1.78,3.51,4.55,12
61,Ranheim,Mjondale,2.30,3.38,3.00,12
62,Tromso,Rosenbor,3.77,3.34,2.00,12
63,Valerenga,Sarpsborg_0,2.16,3.42,3.25,12
64,Viking,Bodo/Glim,2.80,3.50,2.37,12
65,Stromsgodset,Mold,3.62,3.66,1.93,12
66,Stabaek,Troms,2.18,3.40,3.20,11
67,Bodo/Glimt,Stromsgodse,1.47,4.47,6.13,11
68,Lillestrom,Vikin,2.20,3.48,3.09,11
69,Mjondalen,Kristiansun,2.61,3.27,2.67,11
70,Molde,Ranhei,1.27,5.66,9.65,11
71,Rosenborg,Valereng,1.90,3.50,3.98,11
72,Sarpsborg_08,Od,2.63,3.18,2.70,11
73,Haugesund,Bran,2.96,3.20,2.42,11
74,Brann,Rosenbor,1.69,3.68,5.02,10
75,Mjondalen,Haugesun,2.81,3.25,2.50,10
76,Ranheim,Stromsgodse,2.27,3.41,3.03,10
77,Tromso,Mold,4.85,4.08,1.63,10
78,Valerenga,Lillestro,1.48,4.38,6.12,10
79,Molde,Vikin,1.37,4.90,7.47,9
80,Bodo/Glimt,Bran,2.56,3.34,2.68,9
81,Haugesund,Kristiansun,1.70,3.75,4.82,9
82,Lillestrom,Od,3.39,3.28,2.15,9
83,Rosenborg,Mjondale,1.63,3.83,5.34,9
84,Sarpsborg_08,Ranhei,1.43,4.34,7.35,9
85,Stromsgodset,Troms,1.91,3.45,4.01,9
86,Brann,Sarpsborg_0,1.89,3.39,4.19,8
87,Kristiansund,Mold,3.29,3.44,2.12,8
88,Mjondalen,Lillestro,2.15,3.44,3.26,8
89,Odd,Ranhei,1.39,4.50,8.12,8
90,Rosenborg,Haugesun,1.88,3.39,4.18,8
91,Tromso,Bodo/Glim,3.59,3.57,1.99,8
92,Valerenga,Stromsgodse,1.67,3.92,4.78,8
93,Viking,Stabae,1.67,3.91,4.76,8
94,Stromsgodset,Vikin,1.92,3.68,3.67,7
95,Haugesund,Bodo/Glim,2.09,3.44,3.39,7
96,Molde,Mjondale,1.30,5.40,8.82,7
97,Ranheim,Valereng,3.19,3.29,2.23,7
98,Sarpsborg_08,Kristiansun,1.60,3.87,5.53,7
99,Stabaek,Bran,3.99,3.43,1.92,7
100,Tromso,Od,2.99,3.28,2.35,7
101,Lillestrom,Rosenbor,3.13,3.24,2.30,7
102,Viking,Valereng,2.75,3.44,2.43,6
103,Bodo/Glimt,Lillestro,1.58,4.09,5.36,6
104,Brann,Ranhei,1.36,4.81,8.21,6
105,Haugesund,Mold,2.73,3.24,2.57,6
106,Kristiansund,Troms,1.83,3.64,4.13,6
107,Odd,Stromsgodse,1.78,3.60,4.46,6
108,Rosenborg,Sarpsborg_0,2.21,3.11,3.43,6
109,Mjondalen,Stabae,2.03,3.50,3.51,6
110,Valerenga,Od,2.27,3.30,3.11,5
111,Lillestrom,Haugesun,2.49,3.12,2.93,5
112,Molde,Rosenbor,1.92,3.65,3.77,5
113,Ranheim,Vikin,2.78,3.23,2.53,5
114,Stabaek,Bodo/Glim,3.26,3.48,2.13,5
115,Stromsgodset,Kristiansun,1.79,3.68,4.30,5
116,Tromso,Bran,3.35,3.39,2.13,5
117,Sarpsborg_08,Mjondale,1.44,4.39,6.95,5
118,Odd,Vikin,1.61,3.99,5.16,4
119,Bodo/Glimt,Sarpsborg_0,2.21,3.38,3.16,4
120,Brann,Valereng,1.64,3.86,5.08,4
121,Haugesund,Stabae,1.69,3.74,4.94,4
122,Kristiansund,Ranhei,1.74,3.62,4.70,4
123,Lillestrom,Mold,3.09,3.44,2.23,4
124,Mjondalen,Troms,2.10,3.45,3.36,4
125,Rosenborg,Stromsgodse,1.61,3.91,5.31,4
126,Bodo/Glimt,Mold,2.90,3.51,2.31,3
127,Odd,Kristiansun,1.61,3.84,5.51,3
128,Ranheim,Haugesun,2.74,3.15,2.63,3
129,Sarpsborg_08,Lillestro,1.81,3.52,4.45,3
130,Stabaek,Rosenbor,3.59,3.25,2.10,3
131,Valerenga,Troms,1.58,4.10,5.37,3
132,Viking,Bran,3.19,3.36,2.21,3
133,Stromsgodset,Mjondale,1.72,3.87,4.51,3
134,Brann,Kristiansun,1.51,4.14,6.25,15
135,Molde,Valereng,1.41,4.61,7.29,15
136,Rosenborg,Od,1.85,3.43,4.33,2
137,Brann,Stromsgodse,1.68,3.81,4.84,2
138,Haugesund,Sarpsborg_0,2.73,3.28,2.55,2
139,Kristiansund,Valereng,3.06,3.35,2.28,2
140,Lillestrom,Ranhei,1.65,3.85,5.09,2
141,Molde,Stabae,1.33,5.11,8.59,2
142,Tromso,Vikin,2.07,3.46,3.45,2
143,Mjondalen,Bodo/Glim,2.83,3.31,2.44,2
144,Stabaek,Lillestro,2.74,3.29,2.54,1
145,Bodo/Glimt,Rosenbor,2.94,3.30,2.37,1
146,Ranheim,Troms,2.32,3.36,2.99,1
147,Sarpsborg_08,Mold,2.62,3.30,2.64,1
148,Stromsgodset,Haugesun,1.99,3.38,3.76,1
149,Viking,Kristiansun,2.08,3.45,3.43,1
150,Odd,Bran,2.39,3.11,3.10,1
151,Valerenga,Mjondale,1.63,3.84,5.30,1
