League,Team,Home,Away,GF,GA,First_Half_Ball_Possession,First_Half_Goal_Attempts,First_Half_Shots_on_Goal,First_Half_Shots_off_Goal,First_Half_Blocked_Shots,First_Half_Free_Kicks,First_Half_Corner_Kicks,First_Half_Offsides,First_Half_Throw_in,First_Half_Goalkeeper_Saves,First_Half_Fouls,First_Half_Red_Cards,First_Half_Yellow_Cards,First_Half_Total_Passes,First_Half_Completed_Passes,First_Half_A,First_Half_DA,First_Half_Tackles,Second_Half_Ball_Possession,Second_Half_Goal_Attempts,Second_Half_Shots_on_Goal,Second_Half_Shots_off_Goal,Second_Half_Blocked_Shots,Second_Half_Free_Kicks,Second_Half_A,Second_Half_DA,Second_Half_Corner_Kicks,Second_Half_Offsides,Second_Half_Throw_in,Second_Half_Goalkeeper_Saves,Second_Half_Fouls,Second_Half_Red_Cards,Second_Half_Yellow_Cards,Second_Half_Total_Passes,Second_Half_Completed_Passes,Second_Half_Tackles,Lineup,Points,HomeAway,HW,D,HL,Target
04/14/2019 13:00,NOR1,Valerenga,Valerenga,Tromso,4,1,53,5,3,2,0,0,3,0,11,0,3,0,1,0,0,0,52,13,61,1,1,0,0,0,0,1,7,0,10,0,0,0,0,0,52,9,4231,3,1,1,0,0,1
04/14/2019 13:00,NOR1,Tromso,Valerenga,Tromso,1,4,47,2,0,2,0,0,2,1,6,1,2,0,0,0,0,0,53,17,39,4,1,3,0,0,2,2,6,0,5,0,0,0,0,0,56,22,451,0,-1,0,0,1,1
04/14/2019 11:00,NOR1,Bodo/Glimt,Bodo/Glimt,Molde,3,2,45,6,5,1,0,0,7,1,9,3,7,0,1,0,0,0,39,17,47,5,0,5,0,0,2,1,10,1,4,0,0,0,0,0,46,16,433,3,1,1,0,0,1
04/14/2019 11:00,NOR1,Molde,Bodo/Glimt,Molde,2,3,55,3,3,0,0,0,4,2,12,3,4,0,2,0,0,0,60,17,53,6,3,3,0,0,1,2,12,0,8,0,0,0,0,0,65,30,4231,0,-1,0,0,1,1
04/14/2019 11:00,NOR1,Odd,Odd,Kristiansund,2,0,54,5,3,2,0,0,3,4,5,1,6,0,1,0,0,0,44,17,54,6,3,3,0,0,2,2,14,1,1,0,1,0,0,0,52,23,433,3,1,1,0,0,1
04/14/2019 11:00,NOR1,Kristiansund,Odd,Kristiansund,0,2,46,2,1,1,0,0,5,0,7,2,11,0,1,0,0,0,47,20,46,6,1,5,0,0,3,1,13,2,6,0,1,0,0,0,52,22,433,0,-1,0,0,1,1
04/14/2019 11:00,NOR1,Ranheim,Ranheim,Haugesund,0,2,47,4,2,2,0,0,3,0,5,1,2,0,0,0,0,0,43,14,56,3,0,3,0,0,0,1,11,2,7,0,1,0,0,0,69,14,433,0,1,0,0,1,-1
04/14/2019 11:00,NOR1,Haugesund,Ranheim,Haugesund,2,0,53,3,1,2,0,0,2,1,17,2,4,0,0,0,0,0,58,34,44,5,4,1,0,0,5,2,13,0,6,0,1,0,0,0,49,26,4411,3,-1,1,0,0,-1
04/14/2019 11:00,NOR1,Sarpsborg_08,Sarpsborg_08,Lillestrom,1,0,54,10,4,6,0,0,1,0,14,2,7,0,1,0,0,0,83,39,52,3,1,2,0,0,4,5,18,1,6,0,2,0,0,0,66,30,442,3,1,1,0,0,1
04/14/2019 11:00,NOR1,Lillestrom,Sarpsborg_08,Lillestrom,0,1,46,2,2,0,0,0,0,0,13,3,9,0,2,0,0,0,44,7,48,4,1,3,0,0,3,2,17,1,10,0,0,0,0,0,36,19,442,0,-1,0,0,1,1
04/14/2019 11:00,NOR1,Stabaek,Stabaek,Rosenborg,3,1,53,3,1,2,0,0,1,2,9,1,10,0,0,0,0,0,49,25,64,5,2,3,0,0,0,0,11,0,5,0,0,0,0,0,46,12,4231,3,1,1,0,0,1
04/14/2019 11:00,NOR1,Rosenborg,Stabaek,Rosenborg,1,3,47,3,2,1,0,0,3,3,12,0,8,0,1,0,0,0,48,27,36,3,0,3,0,0,4,2,11,0,9,0,1,0,0,0,78,29,4231,0,-1,0,0,1,1
04/13/2019 13:00,NOR1,Viking,Viking,Brann,2,1,32,3,1,2,0,0,1,0,6,0,8,0,1,0,0,0,26,7,75,4,4,0,0,0,1,1,11,6,6,1,4,0,0,0,23,6,433,3,1,1,0,0,1
04/13/2019 13:00,NOR1,Brann,Viking,Brann,1,2,68,4,0,4,0,0,3,1,19,1,5,0,2,0,0,0,61,35,25,10,7,3,0,0,3,1,8,2,7,0,3,0,0,0,41,36,433,0,-1,0,0,1,1
04/12/2019 12:00,NOR1,Stromsgodset,Stromsgodset,Mjondalen,2,3,49,6,3,3,0,0,4,1,14,2,7,0,2,0,0,0,41,24,55,7,3,4,0,0,6,1,9,0,5,0,3,0,0,0,59,45,442,0,1,0,0,1,-1
04/12/2019 12:00,NOR1,Mjondalen,Stromsgodset,Mjondalen,3,2,51,6,5,1,0,0,2,1,7,2,4,0,0,0,0,0,34,20,45,1,0,1,0,0,0,1,5,2,7,0,2,0,0,0,27,12,433,3,-1,1,0,0,-1
